jobId,title,companyName,location,experience,minimumExperience,maximumExperience,minimumSalary,maximumSalary,salary,currency,jobUploaded,jobDescription,tagsAndSkills,companyId,ReviewsCount,AggregateRating,suggested_role,role_evidence,role_score
11025018507,Corporate Trainer / Instructor - RedHat (Not Developer),Koenig Solutions,Remote,3-8 Yrs,3,8,50000,125000,"50,000-1.25 Lacs PA",INR,2 Days Ago,"Deliver professional training sessions on Red Hat technologies, 
Mentor learners through certifications (RHCSA, RHCE, RHCA),
Provide hands-on sessions on Linux, Kubernetes, Docker, OpenShift, Terraform, and Ansible.Strong knowledge of Red Hat technologies and Linux. 
Familiarity with Kubernetes, Docker, OpenShift, Terraform, Ansible.
Red Hat certifications (RHCSA / RHCE / RHCA) preferred.","Linux,Terraform,Red Hat,Open Shift,RedHat,Rhca,Instructor,Trainer",3111,277,3.7,Software Engineer,title:developer,5.09
11025018417,Corporate Trainer / Instructor - RedHat (Not Developer),Koenig Solutions,Remote,1-6 Yrs,1,6,50000,125000,"50,000-1.25 Lacs PA",INR,2 Days Ago,"Deliver professional training sessions on Red Hat technologies, 
Mentor learners through certifications (RHCSA, RHCE, RHCA),
Provide hands-on sessions on Linux, Kubernetes, Docker, OpenShift, Terraform, and Ansible.•	Strong knowledge of Red Hat technologies and Linux. 
•	Familiarity with Kubernetes, Docker, OpenShift, Terraform, Ansible.
•	Red Hat certifications (RHCSA / RHCE / RHCA) preferred.","Linux,Red Hat,Open Shift,RedHat,Terraform,Instructor,Trainer,Trainings",3111,277,3.7,Software Engineer,title:developer,5.09
260925006816,Sap Abap Consultant,Artech,"Hybrid - Chennai, Coimbatore",5-10 Yrs,5,10,600000,1600000,6-16 Lacs PA,INR,7 Days Ago,"<p> As  an Application Developer, you will design, build, and configure  applications to meet business process and application requirements. A  typical day involves collaborating with various teams to understand  their needs, developing solutions that align with business objectives,  and ensuring that applications are optimized for performance and  usability. You will also engage in problem-solving activities, providing  support and enhancements to existing applications while staying updated  with the latest technologies and best practices in application  development. Roles & Responsibilities: - Expected to be an SME.-  Collaborate and manage the team to perform.- Responsible for team  decisions.- Engage with multiple teams and contribute on key decisions.-  Provide solutions to problems for their immediate team and across  multiple teams.- Mentor junior team members to enhance their skills and  knowledge.- Continuously assess and improve application performance and  user experience. Professional & Technical Skills: - Must To Have  Skills: Proficiency in SAP ABAP Development for HANA, SAP BTP  Integration Suite, SAP Sales and Distribution (SD), SAP FI CO Finance.-  Having experience in Implementation, Support, and Rollout Projects on  SAP R/3 ECC NW 7.5, and S/4 HANA.- Should have strong working experience  in functional areas like SAP SD-OTC / FI-CA(CI&SD/CI invoicing)/ FI  modules- Good to have Prior SAP eDocument /eInvoicing experience - Good  working experience on OData Services  </p><br />","SAP ABAP,Hana Abap,Sap Abap Hana,Sap Hana,Abap,SAP,Consulting,Abap On Hana",1128,965,3.7,Software Engineer,description:application developer; description:developer,1.0
240925933409,Java Fullstack Developer+ React - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Chennai, Gurugram, Delhi / NCR, Bengaluru, Mumbai (All Areas)",6-9 Yrs,6,9,1500000,1800000,15-18 Lacs PA,INR,9 Days Ago,Java Fullstack + React,"Reacts Js,Java Fullstack,React.Js,Full Stack,Java,Javascript",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; description:fullstack; title:developer,14.68
240925933407,Java Fullstack Developer+ React - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Chennai, Gurugram, Delhi / NCR, Bengaluru, Mumbai (All Areas)",6-9 Yrs,6,9,1500000,1800000,15-18 Lacs PA,INR,9 Days Ago,Java Fullstack + React,"Reacts Js,Java Fullstack,React.Js,Java,Javascript,Full Stack",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; description:fullstack; title:developer,14.68
240925933405,Java Fullstack Developer+ React - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Chennai, Gurugram, Delhi / NCR, Bengaluru, Mumbai (All Areas)",6-9 Yrs,6,9,1500000,1800000,15-18 Lacs PA,INR,9 Days Ago,Java Fullstack + React,"Reacts Js,Java Fullstack,React.Js,Java,Full Stack,Javascript",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; description:fullstack; title:developer,14.68
240925933404,Java Fullstack Developer+ React - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Chennai, Gurugram, Delhi / NCR, Bengaluru, Mumbai (All Areas)",6-9 Yrs,6,9,1500000,1800000,15-18 Lacs PA,INR,9 Days Ago,Java Fullstack + React,"Reacts Js,Java Fullstack,React.Js,Java,Javascript,Full Stack",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; description:fullstack; title:developer,14.68
240925933403,Java Fullstack Developer+ React - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Chennai, Gurugram, Delhi / NCR, Bengaluru, Mumbai (All Areas)",6-9 Yrs,6,9,1500000,1800000,15-18 Lacs PA,INR,9 Days Ago,Java Fullstack + React,"Reacts Js,Java Fullstack,React.Js,Java,Javascript,Full Stack",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; description:fullstack; title:developer,14.68
240925933401,Java Fullstack Developer+ React - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Chennai, Gurugram, Delhi / NCR, Bengaluru, Mumbai (All Areas)",6-9 Yrs,6,9,1500000,1800000,15-18 Lacs PA,INR,9 Days Ago,Java Fullstack + React,"Reacts Js,Java Fullstack,React.Js,Java,Full Stack,Javascript",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; description:fullstack; title:developer,14.68
240925933465,Senior Integration FullStack Engineer Asp.net Core 8 and ReactJS,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Gurugram, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)",8-13 Yrs,8,13,1000000,2000000,10-20 Lacs PA,INR,9 Days Ago,"Integrated multi-layer application is highly preferable, ASP.Net Core 8,Reactjs,Integration API services,SQL skills with Oracle","Git skills,Asp.net core 8,Fullstack developer,Api Integration,React.Js,Octopus,Development,Full Stack",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; skills:developer,11.09
240925933444,Java Fullstack + Angular- Developer,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Gurugram, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,4,9,1000000,1800000,10-18 Lacs PA,INR,9 Days Ago,Java Fullstack + Angular- Developer,"Full Stack,Java Fullstack,Angular,Development,Stack,Java",124124266,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; description:fullstack; title:developer,15.18
240925933419,Java developer+ React JS - Immediate Joiner only,Sapphire Manpower Services,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)",6-11 Yrs,6,11,1200000,1800000,12-18 Lacs PA,INR,9 Days Ago,"Candidate should have experience in Java & React JSJava + React JS
18 LPA CTC","Reacts Js,Java,React.Js,Javascript",124124266,965,3.7,Software Engineer,title:java developer; title:developer,10.23
250925035570,Snowflake Developer(AZURE DATA Factory),Infyjob Technology Services,"Mumbai, Pune, Chennai",9-14 Yrs,9,14,1700000,2500000,17-25 Lacs PA,INR,8 Days Ago,"Looking for a Snowflake developer with Azure Data Factory.
Please dont apply those who not have Azure data factory(ADF)
Please apply those who have 9+years.
9+YEARS
Only the immediate joiner
25lpa
Mumbai ,pune ,chennai","Azure Data Factory,Snowflake,adf,Development,Factory,Data,Microsoft Azure,Oracle ADF",5569468,965,3.7,Software Engineer,title:developer; description:developer,5.59
250925035038,Python Developer,Hiring Mavericks,"Hybrid - Pune, Mumbai (All Areas)",2-5 Yrs,2,5,250000,650000,2.5-6.5 Lacs PA,INR,8 Days Ago,We are seeking a skilled Python Developer with 2-3 years of experience to join our dynamic  team.,"GCP,Image Processing,Python Development,OCR,Kubernetes,Postgresql,Microsoft Azure,Redis",124261788,965,3.7,Software Engineer,title:python developer; description:python developer; title:developer; description:developer,11.25
250925011153,Devops Engineer_Hybrid,Creative Hr Solutions,"Pune, North Goa, Mumbai (All Areas)",3-8 Yrs,3,8,600000,1500000,6-15 Lacs PA,INR,8 Days Ago,"DevOps Engineer (2–10 yrs Exp)–We are hiring DevOps Engineers with hands-on experience in CI/CD, Git, Jenkins,Docker, Kubernetes, and cloud deployments. Opportunity to work on automation and scalable systems. Send CV to sirisha@creativehrsolutions.in","Ci/Cd,Jenkins,Cloud Deployment,Docker,Kubernetes,Cloud,Devops,Continuous Integration",5556900,965,3.7,Cloud Engineer,title:devops; skills:devops; description:devops; title:devops engineer; description:devops engineer,17.71
240925035370,Urgent Area Sales Manager( must Affordable HL),Adidar Consulting,"Mumbai, Pune",5-10 Yrs,5,10,800000,1100000,8-11 Lacs PA,INR,9 Days Ago,"An individual will be responsible to source Home Loan, LAP and Margin 
Money Funding cases from open market, developer channels and 
connectors/DSA
• Look at affordable with a ticket size of 40 lakhs","Team Handling,Home Loans,DSA,Business Generation,Branch Handling,Target Achievement,Housing Finance,New Client Acquisition",3871008,965,3.7,Software Engineer,description:developer,0.5
300925030972,Java Developer,Pixelcode Technologies India,"Hyderabad, Pune, Bengaluru",7-12 Yrs,7,12,1500000,3000000,15-30 Lacs PA,INR,2 Days Ago,"Knowledge of build tools (Gradle preferred,Maven acceptable) <br><br> Having between 7 to 12 + years of experience <br><br>Hands-on experience with Java 17 or later <br><br>Experience with RDBMS (Postgres / AWS Aurora) <br><br>Experience in CI / CD pipelines with Git and Jenkins <br><br>Experience in financial disputes management or payment networks","Java,Aws Kinesis,Aws Lambda,EMR,Kinesis,Lambda Expressions,Development,Java Development",6583364,965,3.7,Software Engineer,title:java developer; title:developer,10.23
300925030517,PLM Windchill Developer,Kiya.ai,"Hybrid - Hyderabad, Pune, Bengaluru",4-8 Yrs,4,8,1300000,2300000,13-23 Lacs PA,INR,2 Days Ago,". We are seeking skilled PLM Windchill Developers with strong expertise in customization,implementation,and Core Java development.The ideal candidate should have hands-on experience in at least one end-to-end Windchill implementation project,with proven ability to design,code,and deploy customized solutions within the PLM environment","Windchill PLM,Integrations,Core Java,Configuration,Coding,PLM Development,Customization,Debugging",18947,491,3.5,Software Engineer,title:developer; description:developer,5.59
300925024362,Fullstack Developer,Wissenpro It Solutions,"Hyderabad, Pune, Bengaluru",5-10 Yrs,5,10,2000000,2500000,20-25 Lacs PA,INR,3 Days Ago,"<p><strong><u><em>Please email your resume to bhuvaneswari@wissenpro.com or contact via Call/WhatsApp at 87126-50628.</em></u></strong></p><br /><p>The role is: MEAN Stack Developer / Full-Stack Developer</p><p><strong><u> Location: Pan India</u></strong></p><br /><p><strong>Key Focus Areas:</strong></p><br /><ul><li><strong>Backend:</strong> Node.js, TypeScript, Express, REST APIs</li><li><strong>Frontend:</strong> Angular (v5v10)</li><li><strong>Database:</strong> MongoDB, PostgreSQL</li><li><strong>Optional:</strong> AWS deployment, GraphQL</li></ul>","Rest,Express,Typescript,Node.Js,API,Postgresql,MongoDB,Angular",1762712,965,3.7,Software Engineer,title:fullstack; description:frontend; description:backend; title:developer; description:developer,11.68
300925013304,Senior Data Scientist,Tredence,"Hybrid - Pune, Gurugram, Bengaluru",5-8 Yrs,5,8,2000000,3500000,20-35 Lacs PA,INR,3 Days Ago,"Preferred Qualifications:  . Masters or PhD in Computer Science,Machine Learning,Artificial Intelligence,or a related field<br><br>Immediate joiners or candidates with short notice periods (030 days) will be given strong preference. Key Responsibilities:  . <br><br>Required Skills and Experience:  . 5+ years of experience in Data Science or AI roles,with 2+ years in GenAI or LLMs","Generative Ai,Machine Learning,Python,Large Language Model,Artificial Intelligence,Natural Language Processing,Time Series,Retrieval Augmented Generation",1360722,609,3.4,AI/ML Engineer,skills:machine learning; description:machine learning; skills:artificial intelligence; description:artificial intelligence; skills:natural language processing,9.5
290925024359,Data Engineer,EXL,"Hybrid - Pune, Gurugram, Bengaluru",4-7 Yrs,4,7,2500000,2750000,25-27.5 Lacs PA,INR,4 Days Ago,"<p><strong>Job Title:</strong> Data Engineer  Azure Data Engineering & Databricks</p><p><strong>Experience:</strong> 4–7 Years</p><br /><p><strong>Role Summary:</strong></p><p>We are looking for a skilled Data Engineer with solid experience in the Azure data ecosystem and hands-on expertise in Azure Databricks. The ideal candidate will have worked on designing and developing scalable, cloud-native data pipelines and solutions using Azure data services. You will contribute to building and optimizing data lakehouse and warehouse architectures, enabling efficient data ingestion, transformation, and analytics in a collaborative team environment.</p><br /><p><strong>Roles and Responsibilities:</strong></p><ul><li>Design, develop, and maintain scalable data pipelines and workflows using Azure Data Factory, Azure Databricks, Azure Synapse Analytics, and Azure Data Lake Storage (ADLS).</li><li>Implement ETL/ELT processes using Azure Data Factory and Databricks to enable efficient data ingestion and transformation.</li><li>Work on building data solutions leveraging Delta Lake and implement best practices such as the Medallion Architecture.</li><li>Collaborate with data scientists, analysts, and business teams to understand data requirements and deliver effective Azure-based data solutions.</li><li>Participate in code reviews, testing, deployment, and documentation to ensure high-quality data engineering deliverables.</li><li>Follow data governance, security, and compliance standards while handling data pipelines and sensitive information.</li><li>Implement and manage secure authentication and authorization using Azure Active Directory (AAD) and Azure Key Vault for secrets management.</li><li>Support CI/CD automation and monitoring of data pipelines using Azure DevOps.</li><li>Stay current with Azure data platform developments and contribute ideas to improve existing data infrastructure and processes.</li></ul><br /><p><strong>Must-Have Skills:</strong></p><ul><li>4+ years of experience in data engineering with a strong focus on Azure data services.</li><li>Hands-on experience with Azure Databricks, Spark, PySpark, Delta Lake, and implementing Medallion Architecture is highly desirable.</li><li>Proficiency with Azure Data Factory for building ETL/ELT pipelines.</li><li>Working knowledge of Azure Synapse Analytics and Azure Data Lake Storage (ADLS).</li><li>Strong programming skills in Python and SQL (T-SQL). PowerShell experience is a plus.</li><li>Experience with Azure Active Directory (AAD) for authentication and role-based access control.</li><li>Familiarity with Azure Key Vault for secrets and certificate management.</li><li>Understanding of modern data lakehouse architectures and cloud-native data platform principles on Azure.</li><li>Basic knowledge of CI/CD and DevOps processes, preferably using Azure DevOps.</li><li>Good communication skills with the ability to work collaboratively in cross-functional teams.</li></ul><br /><p><strong>Good-to-Have Skills:</strong></p><ul><li>Experience with Delta Live Tables, MLflow, or Unity Catalog on Azure Databricks.</li><li>Familiarity with Azure Event Hubs, Azure Stream Analytics, or other streaming data services.</li><li>Awareness of Azure Purview or other data governance tools.</li><li>Basic exposure to Snowflake in an Azure environment, including data modeling and performance tuning.</li><li>Experience with Infrastructure as Code (IaC) tools like ARM templates or Terraform on Azure.</li><li>Understanding of machine learning workflows and MLOps integration within Azure.</li></ul><br />","Pyspark,Azure Databricks,ETL,Python,SQL,Azure Data Factory,Datafactory,Data Engineering",416,8028,3.6,AI/ML Engineer,description:machine learning; description:mlops,1.0
290925023269,Business Analyst,Huntingcube Recruitment Solution,"Hybrid - Hyderabad, Pune, Greater Noida",7-12 Yrs,7,12,900000,1900000,9-19 Lacs PA,INR,4 Days Ago,"This role involves close collaboration with stakeholders,developers,and project managers to deliver high-quality portal solutions that meet business needs. Key Responsibilities:  . Requirement Gathering: Work with stakeholders to gather and document business requirements for portal development projects. .","Portal Development,Trade Capture,CMS,NAV Calculation,Business Analysis,Valuation,Pricing,Development",2614770,965,3.7,Data Analyst,title:business analyst,6.16
290925019939,Syniti ADMM Developer,Venpa Staffing,"Hybrid - Hyderabad, Pune, Bengaluru",4-9 Yrs,4,9,600000,1200000,6-12 Lacs PA,INR,4 Days Ago,"<p>  </p><p> <strong>Job Description:</strong><br /> Participate in end-to-end data migration and management projects using Synitis Advanced Data Migration & Management (ADMM) platform. Work closely with business stakeholders and technical teams to gather, analyse, and document data migration and data management requirements. Develop Syniti ADMM solutions, including: Data mapping, transformations, and validation rules. Workflow and process automation within the ADMM framework. Integration with source and target systems (SAP S/4HANA, ECC, non-SAP systems, etc.)</p><p>Mandatory Skills - SAP Syniti ADMM</p><p>Nice to have skills - BODS</p><p>Interview Mode - Virtual Interview</p><br /><br />","Syniti Adm,SAP,Sap Bods,ADMM,Development,Adm,Bod,Bods",756229,965,3.7,Software Engineer,title:developer,5.09
290925018602,Salesforce Order Management (SOM) Senior Developer / Lead,KVP Business Solutions,"Hybrid - Hyderabad, Pune, Bengaluru",6-9 Yrs,6,9,1000000,2000000,10-20 Lacs PA,INR,4 Days Ago,"Proficiency in Apex,LWC (Lightning Web Components),SOQL,SOSL,Aura<br><br>Experience with Platform Events,CDC,Composite API<br><br> Technical Skills Required . Strong hands-on experience with Salesforce Order Management (SOM) and order lifecycle processes","Lwc,Apex,Salesforce Order Management,SOQL,Salesforce Cloud,Integration,SOSL,GIT",2697816,28,3.8,Software Engineer,title:developer,5.09
290925017920,Snowflake Developer,Vision Beyond Resources India,"Hybrid - Noida, Pune, Bengaluru",5-7 Yrs,5,7,1400000,2400000,14-24 Lacs PA,INR,4 Days Ago,"Job Summary . We are looking for a Snowflake Developer with 7+ years of experience to design,develop,and maintain our Snowflake data platform<br><br>Develop data ingestion processes (batch and real-time) using Snowpipe <br><br>SnowPro Core Certification (preferred but not required) <br><br>Required Skills & Qualifications<br><br>3+ years of hands-on Snowflake development experience","Snowflake,Data Build Tool,etl,dbt,Development,Data,Build,Build Automation",152758,965,3.7,Software Engineer,title:developer; description:developer,5.59
290925014361,Data Engineer,EXL,"Hybrid - Pune, Gurugram, Bengaluru",4-8 Yrs,4,8,2000000,2750000,20-27.5 Lacs PA,INR,4 Days Ago,"<p>We are looking for an experienced Data Engineer to drive the development of scalable, secure, and high-performance data solutions. This role requires deep technical expertise in Python, Apache Spark, Delta Lake, and orchestration tools like Databricks Workflows or Azure Data Factory. The ideal candidate will also bring a strong understanding of data governance, metadata management, and regulatory compliance in the insurance and financial services domains. Proficient in developing Python Applications, Spark-based workflows, leveraging Delta Lake, and orchestrating jobs using Databricks Workflows or Azure Data Factory. Good to understand retention metadata, business rules, and data governance policies into reusable pipelines. Strong understanding of data privacy, security, and regulatory needs in insurance and financial domains.</p><br /><p><strong>Key Responsibilities:</strong></p><ul><li>Develop robust data pipelines and ETL workflows using Python and Apache Spark. </li><li>Orchestrate complex workflows using Databricks Workflows or Azure Data Factory. </li><li>Translate business rules, retention metadata, and data governance policies into reusable, modular, and scalable pipeline components. </li><li>Ensure adherence to data privacy, security, and compliance standards (e.g., GDPR, HIPAA, etc.). </li><li>Collaborate with cross-functional teams including data architects, analysts, and business stakeholders to align data solutions with business goals.</li></ul><br /><p><strong>Required Skills & Qualifications:</strong> </p><ul><li>4 to 7 years of experience in data engineering </li><li>Expert-level proficiency in Python, Apache Spark, and Delta Lake. </li><li>Strong experience with Databricks Workflows and/or Azure Data Factory. </li><li>Deep understanding of data governance, metadata management, and business rule integration. </li><li>Strong communication skills. </li><li>Experience with cloud platforms such as Azure. </li></ul><br /><p><strong>Preferred Qualifications:</strong> </p><ul><li>Experience with CI/CD pipelines and DevOps practices in data engineering. </li><li>Familiarity with data cataloging and data quality tools. </li><li>Certifications in Azure Data Engineering or related technologies. </li><li>Exposure to enterprise data architecture and modern data stack tools.</li></ul>","Microsoft Azure,Spark,ETL,Python,SQL,Azure Data Factory,Delta Lake,Azure Databricks",416,8028,3.6,Cloud Engineer,description:devops,0.5
290925013969,"Principal Java Architect Java,Angular,Sql,MMIS",Innova Solutions,"Hybrid - Noida, Hyderabad, Pune",10-20 Yrs,10,20,3500000,5000000,35-50 Lacs PA,INR,4 Days Ago,"Bachelors or Masters degree in Computer Science,Engineering,or related field<br><br>Required Skills & Qualifications:  . 10 years of experience in software development,with 5+ years in a senior architectural role<br><br>Experience: 12 to 20 years<br><br>SQL (Oracle,SQL Server) . Hands-on experience in MMIS or similar large-scale healthcare / government systems","Java Architecture,Spring Boot,Angular,SQL,Mmis,Java,Boot,Architecture",528097,1053,3.3,Software Engineer,description:software development,0.5
260925029815,Dot Net Fullstack Developer,Vision Beyond Resources India,"Hybrid - Noida, Pune, Bengaluru",4-8 Yrs,4,8,1000000,2000000,10-20 Lacs PA,INR,7 Days Ago,<p><strong>Preferred candidate profile:</strong></p><p>  </p><p><strong>Job Title -</strong> <strong><u>Dot net Angular</u></strong></p><p><strong>JOB REQUIREMENT</strong>  </p><ul><li>dot net + ANGULAR LATEST VERSION</li><li>Excellent communication</li></ul><p><strong>EXPERIENCE</strong> – 4 to 8 Years</p><br />,"angular,.net,dot net,Development,DoT,ASP.Net,Net Fullstack,Full Stack",152758,965,3.7,Software Engineer,skills:full stack; title:fullstack; skills:fullstack; title:developer,14.18
